날짜,시작,종료,구분,제목,장소,좌표,이동수단,비용,메모,링크
2026-09-13,07:00,,이동,인천공항 집결,인천국제공항 제1터미널,"37.4491, 126.4506",,,출발 2시간 30분 전 도착,
2026-09-13,09:20,11:45,이동,JL092 하네다 도착,하네다공항 제3터미널,"35.5494, 139.7798",전철,,입국심사 후 스이카 충전,
2026-09-13,13:30,14:30,식사,신주쿠 점심,신주쿠 3초메,"35.6910, 139.7040",도보,2400,,
2026-09-13,15:00,,숙박,호텔 체크인,신주쿠 워싱턴 호텔,"35.6894, 139.6976",도보,,캐리어 맡기고 바로 이동,
2026-09-13,17:00,19:00,관광,도쿄도청 전망대,도쿄도청 제1청사,"35.6896, 139.6921",도보,0,무료 · 야경 추천,https://www.gotokyo.org/
2026-09-13,19:30,21:00,식사,오모이데요코초 이자카야,오모이데요코초,"35.6934, 139.6996",도보,6800,,
2026-09-14,09:00,09:40,식사,호텔 조식,신주쿠 워싱턴 호텔,"35.6894, 139.6976",전철,0,숙박비 포함,
2026-09-14,10:30,12:00,관광,센소지,센소지 浅草寺,"35.7148, 139.7967",도보,0,나카미세 거리 통과,
2026-09-14,12:15,13:15,식사,아사쿠사 텐동,아사쿠사 나카미세 거리,"35.7118, 139.7966",도보,2200,,
2026-09-14,13:40,15:30,관광,도쿄 스카이트리,도쿄 스카이트리,"35.7101, 139.8107",전철,3100,천망데크 350m,https://www.tokyo-skytree.jp/
2026-09-14,16:30,18:00,쇼핑,우에노 아메요코,아메야요코초,"35.7100, 139.7745",도보,,,
2026-09-14,18:30,20:00,식사,우에노 이자카야,우에노역 히로코지 출구,"35.7138, 139.7770",도보,5400,,
2026-09-15,10:00,11:30,관광,메이지 신궁,메이지 신궁,"35.6764, 139.6993",도보,0,,
2026-09-15,11:45,13:00,쇼핑,다케시타 거리,다케시타 거리,"35.6712, 139.7030",도보,,,
2026-09-15,13:15,14:15,식사,이치란 라멘 시부야점,이치란 시부야점,"35.6606, 139.7010",도보,1200,,
2026-09-15,15:00,16:30,관광,시부야 스카이,시부야 스크램블 스퀘어,"35.6580, 139.7016",도보,2200,일몰 시간대 예약 필요,https://www.shibuya-scramble-square.com/
2026-09-15,17:00,18:00,관광,시부야 스크램블 교차로,시부야 스크램블 교차로,"35.6595, 139.7005",도보,0,,
2026-09-15,19:00,21:00,식사,시부야 야키니쿠,시부야 센터가이,"35.6606, 139.6987",도보,9800,,
2026-09-16,08:00,09:30,식사,츠키지 장외시장,츠키지 장외시장,"35.6654, 139.7707",전철,3500,계란말이 · 참치덮밥,
2026-09-16,10:00,12:00,관광,teamLab Planets,teamLab Planets TOKYO,"35.6497, 139.7900",전철,3800,맨발 입장 · 짧은 바지 권장,https://www.teamlab.art/
2026-09-16,13:00,15:00,쇼핑,긴자 거리,긴자 4초메 교차로,"35.6717, 139.7650",전철,,,
2026-09-16,16:00,18:00,관광,오다이바 실물크기 건담,다이버시티 도쿄 플라자,"35.6250, 139.7756",도보,0,,
2026-09-16,19:00,20:30,식사,오다이바 야경 디너,아쿠아시티 오다이바,"35.6297, 139.7735",전철,7200,,
2026-09-17,09:00,,숙박,호텔 체크아웃,신주쿠 워싱턴 호텔,"35.6894, 139.6976",전철,,,
2026-09-17,10:30,12:00,쇼핑,하네다공항 면세점,하네다공항 제3터미널,"35.5494, 139.7798",,,,
2026-09-17,13:35,16:10,이동,JL091 인천 도착,인천국제공항 제1터미널,"37.4491, 126.4506",,,,
